Date,No.,Description,Debit,Credit
12/11/2020,,DEBIT CARD PURCHASE-PIN  MICRO ELECTRONIC 87 B 99999999 20401430,462.55,
12/11/2020,,DEBIT CARD PURCHASE  CHICK-FIL-A #03780,11.54,
12/14/2020,,ACH DEBIT  CLUB FEES  CLUB FITNESS ABC  TRACE NO: 062000018090885,25.06,
12/14/2020,,DEBIT CARD PURCHASE-PIN  MICRO ELECTRONIC 87 B 99999999   23334629,223.73,
12/14/2020,,DEBIT CARD PURCHASE  NEWEGG INC  626-271-1420,138.91,
12/14/2020,,DEBIT CARD PURCHASE  QDOBA 2501,19.02,
12/14/2020,,DEBIT CARD PURCHASE  B&H PHOTO 800-606-6969  800-2215743    NY,39.98,
12/14/2020,,DEBIT CARD PURCHASE  CHIPOTLE 0918,7.99,
12/14/2020,,DEBIT CARD RECURRING PAYMENT  SPOTIFY  877-778-1161   NY,9.99,
12/14/2020,,DEBIT CARD PURCHASE  VIZ SJ MEMBERSHIP  HTTPSWWW.VIZ.  CA,1.99,
12/15/2020,,DEBIT CARD PURCHASE  AMAZON.COM*2T9WS6YW3  AMZN.COM/BILL  WA,102.52,
12/15/2020,,DEBIT CARD PURCHASE  GOODCENTS SUBS - 0138 – C,11.43,
12/16/2020,,ONLINE BNKG TRANSFER,,140.51
12/21/2020,,DEBIT CARD PURCHASE  STAPLES DIRECT  800-3333330    MA,184.61,
12/21/2020,,DEBIT CARD PURCHASE  VENMO*  VISA DIRECT    NY,22.8,
12/21/2020,,DEBIT CARD PURCHASE  VENMO*  VISA DIRECT    NY,50.51,
12/21/2020,,DEBIT CARD PURCHASE  WALMART 2501,9.02,
12/22/2020,,ACH DEBIT  DEBITS     FRUEH  TRACE NO: 081501040000001,110.23,
12/23/2020,,WORK DEPOSIT,,250.87
12/24/2020,,DEBIT CARD PURCHASE  FIVE GUYS 0918,34.08,
12/28/2020,,DEBIT CARD PURCHASE  AMAZON 0918,9.08,
12/28/2020,,DEBIT CARD PURCHASE  DICK'SSPORTINGGOODS.COM  877-8469997    PA,1.83,
12/28/2020,,TAX REFUNDS,,454.33
12/28/2020,,DEBIT CARD PURCHASE-PIN  THREE SEVENS IN       25109001    10900908,2.1,
12/30/2020,,ONLINE BNKG TRANSFER,,234.24
12/31/2020,,DEBIT CARD PURCHASE  INSURANCE 2501,90.18,
